2025-04-13 20:19:03,651 - websocket-server - INFO - Python version: 3.12.4 | packaged by Anaconda, Inc. | (main, Jun 18 2024, 10:07:17) [Clang 14.0.6 ]
2025-04-13 20:19:03,651 - websocket-server - INFO - Websockets version: 14.1
2025-04-13 20:19:03,651 - websocket-server - INFO - Starting WebSocket server for browser clients on port 9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Server running at ws://localhost:9765
2025-04-13 20:19:03,658 - websocket-server - INFO - Press Ctrl+C to stop the server
2025-04-13 20:19:10,172 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52122)-4327380736
2025-04-13 20:19:10,172 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52122)-4327380736
2025-04-13 20:19:10,205 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52124)-4327382176
2025-04-13 20:19:10,205 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52124)-4327382176
2025-04-13 20:19:10,364 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52126)-4327383616
2025-04-13 20:19:10,364 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52126)-4327383616
2025-04-13 20:19:10,384 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52128)-4327385056
2025-04-13 20:19:10,384 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52128)-4327385056
2025-04-13 20:19:10,448 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52130)-4327386496
2025-04-13 20:19:10,448 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52130)-4327386496
2025-04-13 20:19:10,987 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52136)-4327387936
2025-04-13 20:19:10,987 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52136)-4327387936
2025-04-13 20:19:10,998 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52138)-4327389376
2025-04-13 20:19:10,998 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52138)-4327389376
2025-04-13 20:19:11,010 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52140)-4327390768
2025-04-13 20:19:11,010 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52140)-4327390768
2025-04-13 20:19:11,021 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52142)-4420895712
2025-04-13 20:19:11,021 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52142)-4420895712
2025-04-13 20:19:11,032 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52144)-4420897152
2025-04-13 20:19:11,032 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52144)-4420897152
2025-04-13 20:19:11,044 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52146)-4420898592
2025-04-13 20:19:11,044 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52146)-4420898592
2025-04-13 20:19:11,055 - websocket-server - INFO - Connection opened from ('127.0.0.1', 52148)-4420900032
2025-04-13 20:19:11,055 - websocket-server - INFO - Sent welcome message to ('127.0.0.1', 52148)-4420900032
